results for experiment 3 at timestamp 2018     4    18     0     8    33
samp#		order		kappa		exact		rational		time		chebyshev		time
10		12		1.00		Inf		NaN		0.05713		NaN		0.00027
10		12		4.50		10.72784		11.54494		0.03777		10.42613		0.00028
10		12		8.00		6.95801		5.33907		0.03901		7.52850		0.00029
10		12		11.50		4.96235		3.85372		0.03960		5.40211		0.00036
10		12		15.00		3.61540		1.49437		0.04192		5.56227		0.00029
10		13		1.00		Inf		NaN		0.06301		NaN		0.00030
10		13		4.50		10.72784		11.54494		0.04170		9.83620		0.00034
10		13		8.00		6.95801		6.93724		0.03892		5.79955		0.00028
10		13		11.50		4.96235		4.48068		0.03927		4.84470		0.00029
10		13		15.00		3.61540		2.08054		0.03964		4.98731		0.00031
10		14		1.00		Inf		NaN		0.05385		NaN		0.00029
10		14		4.50		10.72784		10.89395		0.04077		11.22619		0.00035
10		14		8.00		6.95801		7.50459		0.04278		7.23728		0.00037
10		14		11.50		4.96235		4.18079		0.03933		6.56806		0.00028
10		14		15.00		3.61540		2.13996		0.03948		5.16218		0.00039
10		15		1.00		Inf		NaN		0.05982		NaN		0.00049
10		15		4.50		10.72784		11.42283		0.04594		10.90743		0.00045
10		15		8.00		6.95801		5.22022		0.04267		6.18567		0.00030
10		15		11.50		4.96235		4.55034		0.04462		4.62007		0.00040
10		15		15.00		3.61540		0.78068		0.04306		4.22458		0.00030
10		16		1.00		Inf		NaN		0.06585		NaN		0.00051
10		16		4.50		10.72784		11.48389		0.04492		9.65660		0.00045
10		16		8.00		6.95801		5.98371		0.04487		7.33228		0.00046
10		16		11.50		4.96235		5.95288		0.04532		8.48532		0.00035
10		16		15.00		3.61540		4.86987		0.04219		2.25637		0.00031
18		12		1.00		Inf		NaN		0.06394		NaN		0.00030
18		12		4.50		10.72784		12.22492		0.03982		10.05738		0.00052
18		12		8.00		6.95801		5.25983		0.03866		5.85570		0.00029
18		12		11.50		4.96235		4.19495		0.03925		5.70668		0.00044
