results from 2018	4	2	16	27	17 on a dataset of size 10000
k		times		logdets		percentage error		no_blocks
exact	12.62586	14908.60		0						N/A
1		9.96698		14919.17		0.07093					20
2		6.82911		14919.11		0.07050					10
3		5.94657		14899.69		0.05977					6
4		6.37374		14908.07		0.00359					5
5		6.52095		14886.98		0.14500					4
6		5.50835		14901.89		0.04504					3
7		4.27038		14909.03		0.00289					2
8		4.67794		14924.90		0.10933					2
9		5.64467		14901.63		0.04676					2
10		5.98508		14909.28		0.00457					2
20		7.68975		14908.98		0.00457					1


results from 2018	4	2	16	29	44 on a dataset of size 10000
k		times		logdets		percentage error		no_blocks
exact	11.77725	14899.52		0						N/A
1		9.66479		14897.36		0.01456					20
2		6.78968		14874.94		0.16500					10
3		5.85397		14915.62		0.10805					6
4		5.81403		14896.47		0.02047					5
5		6.38649		14923.65		0.16194					4
6		5.52672		14908.16		0.05797					3
7		4.29513		14904.02		0.03018					2
8		4.72075		14900.97		0.00973					2
9		5.59201		14891.39		0.05462					2
10		5.99793		14899.69		0.00108					2
20		7.63781		14884.92		0.00108					1


results from 2018	4	2	16	32	11 on a dataset of size 10000
k		times		logdets		percentage error		no_blocks
exact	12.45400	14981.82		0						N/A
1		9.94669		14983.80		0.01321					20
2		6.88433		15001.40		0.13066					10
3		5.93695		14984.20		0.01588					6
4		5.84628		14985.04		0.02147					5
5		6.59776		14958.87		0.15318					4
6		6.05063		14992.18		0.06912					3
7		4.42061		14981.33		0.00326					2
8		4.80227		14970.00		0.07892					2
9		5.63291		14993.92		0.08076					2
10		5.98476		14978.80		0.02020					2
20		7.94919		14980.00		0.02020					1


results from 2018	4	2	16	34	52 on a dataset of size 10000
k		times		logdets		percentage error		no_blocks
exact	12.94605	14917.49		0						N/A
1		9.65248		14906.16		0.07596					20
2		6.93720		14917.22		0.00179					10
3		6.04184		14934.67		0.11517					6
4		5.67243		14899.68		0.11941					5
5		6.51116		14905.13		0.08287					4
6		5.36860		14927.43		0.06666					3
7		4.31876		14914.07		0.02294					2
8		4.80683		14902.02		0.10372					2
9		5.60043		14922.46		0.03334					2
10		6.02270		14930.77		0.08904					2
20		7.73773		14922.81		0.08904					1


results from 2018	4	2	16	36	54 on a dataset of size 10000
k		times		logdets		percentage error		no_blocks
exact	12.21895	14946.53		0						N/A
1		9.68754		14940.95		0.03731					20
2		6.93461		14934.21		0.08241					10
3		5.92059		14931.01		0.10383					6
4		5.97926		14941.36		0.03456					5
5		6.59268		14941.75		0.03197					4
6		5.59705		14970.94		0.16330					3
7		4.35469		14919.50		0.18087					2
8		4.78177		14931.87		0.09807					2
9		6.00225		14958.76		0.08184					2
10		6.04296		14945.75		0.00518					2
20		7.81828		14929.84		0.00518					1


results from 2018	4	2	16	38	36 on a dataset of size 10000
k		times		logdets		percentage error		no_blocks
exact	12.40203	14932.65		0						N/A
1		9.73857		14898.12		0.23122					20
2		6.71255		14949.84		0.11512					10
3		5.77301		14921.04		0.07775					6
4		5.68097		14945.72		0.08752					5
5		6.50256		14948.08		0.10333					4
6		5.45683		14915.59		0.11423					3
7		4.33306		14923.56		0.06086					2
8		4.89766		14934.36		0.01142					2
9		5.70069		14916.13		0.11062					2
10		6.10953		14932.16		0.00329					2
20		7.71911		14937.13		0.00329					1


results from 2018	4	2	16	40	27 on a dataset of size 10000
k		times		logdets		percentage error		no_blocks
exact	12.09613	14865.48		0						N/A
1		9.93926		14865.45		0.00025					20
2		7.04143		14863.50		0.01333					10
3		6.09162		14858.69		0.04569					6
4		5.86325		14858.90		0.04430					5
5		6.64817		14880.96		0.10412					4
6		5.72865		14882.51		0.11450					3
7		4.34378		14869.96		0.03010					2
8		4.79618		14871.10		0.03775					2
9		5.63057		14865.04		0.00302					2
10		6.23330		14854.63		0.07304					2
20		7.98598		14880.83		0.07304					1


results from 2018	4	2	16	42	32 on a dataset of size 10000
k		times		logdets		percentage error		no_blocks
exact	13.30987	14934.35		0						N/A
1		9.96932		14941.58		0.04839					20
2		6.93144		14931.61		0.01837					10
3		5.94843		14929.85		0.03014					6
4		6.01696		14946.61		0.08206					5
5		6.67827		14929.13		0.03496					4
6		5.58210		14917.59		0.11224					3
7		4.32714		14938.77		0.02956					2
8		4.71727		14914.97		0.12978					2
9		5.60489		14917.64		0.11189					2
10		6.15018		14918.25		0.10780					2
20		7.80214		14935.18		0.10780					1


